email,created_at,alert_type,org_type,org_id,org_name
0EHAD3x3q24ho6Tv@nhs.net,2017-01-23,monthly,Practice,J83011,Giffords Primary Care CTR
JZDQ_AuImhI-VjmD@somerset.gov.uk,2016-12-29,monthly,SICBL,11X,NHS Somerset
4gjQI_aIZIU6BT8u@nhs.net,2017-01-24,monthly,SICBL,99E,NHS Basildon and Brentwood
fFbbYEoHmAWnvltp@sapo.pt,2021-04-21,monthly,Practice,H81046,Wayside Medical Practice
lGKlueF1qupME5FX@nhs.net,2021-04-22,monthly,SICBL,18C,NHS Herefordshire and Worcestershire
qqFkCWs8NyRhm1ZP@nhs.net,2017-01-25,monthly,Practice,J83030,Bradford-On-Avon and Melksham Health
lC2Xvs61BTCr9ANU@nhs.net,2017-01-26,monthly,Practice,H81656,Shadbolt Park House Surg
kmPQpaOp4GCQxn_T@gmail.com,2016-12-30,monthly,Practice,M81092,The Bridge Surgery
M2N0jO5JE6Du5qZu@dbljay.co.uk,2016-12-30,monthly,Practice,P89014,Haughton Thornley Medical Centres
oyTbKk_YuJQ6idev@nhs.net,2016-12-02,monthly,SICBL,16C,NHS Tees Valley
FPRfEJmIeoQ2TUh8@gmail.com,2016-12-01,monthly,Practice,L84077,Five Valleys Medical Practice
AsSPmrjq9HytKZEk@nhs.net,2021-04-26,monthly,SICBL,42D,NHS North Yorkshire
--tsQwTMWqrc_S9d@nhs.net,2016-12-02,monthly,SICBL,16C,NHS Tees Valley
szuCOKilvlsmO5YI@nhs.net,2016-12-02,monthly,Practice,M85019,Tower Hill Partnership
FPRfEJmIeoQ2TUh8@gmail.com,2016-12-01,monthly,SICBL,15C,"NHS Bristol, North Somerset and South Gloucestershire"
0gLLeHBZJjas41_w@nhs.net,2021-04-27,monthly,PCN,U59591,Oasis PCN
d8UtVKqWEJ3lz-ZB@btinternet.com,2017-02-07,monthly,SICBL,15N,NHS Devon
tVw6VPb_a2sinv0F@nhs.net,2021-04-28,monthly,PCN,U20640,St Neots PCN
ijCIx2jw0I3INbf9@my.bristol.ac.uk,2016-12-05,monthly,Practice,L81089,Lawrence Hill Health Centre
vtZyl_9S8EbK65gr@nhs.net,2016-12-02,monthly,Practice,M85019,Tower Hill Partnership
0uMqo4vqEaZGv9Sh@nhs.net,2016-12-05,monthly,Practice,A83074,Pease Way Medical Centre
0uMqo4vqEaZGv9Sh@nhs.net,2016-12-05,monthly,Practice,A83054,Skerne Medical Group
dPrxAEqvEEzSuQRu@nhs.net,2016-12-06,monthly,SICBL,02Q,NHS Bassetlaw
PxL7__FXEE8MZQHN@nhs.net,2016-12-07,monthly,Practice,G82631,Bryant Street Medical Practice
JBWiEitFzoMIilOT@nhs.net,2016-12-07,monthly,Practice,L83042,St Leonards Practice
p5oBL4IwoQzBTmEf@gp-a82006.nhd.uk,2021-05-01,monthly,Practice,A82006,Appleby Medical Practice
JUGIWzT_N4RmU1rb@nhs.net,2021-05-03,monthly,Practice,L84617,Quedgeley Medical Centre
